"Genetic_distance","Frequency"
0,0.735226319436846
1,0.0633822081190502
2,0.0256410256410256
3,0.032051282051282
4,0.0717948717948718
5,0.0371794871794872
6,0.0998413393150235
7,0.106410256410256
8,0.207954918481234
9,0.376587518692782
10,0.504230951599373
11,0.90724732829996
12,1.03580625159573
13,1.33006164058796
14,1.52196082722399
15,1.2465514097093
16,1.01768063610169
17,0.645867527446475
18,0.514890396469344
19,0.290305285042127
20,0.143431082904767
21,0.05
22,0.0217948717948718
23,0.00897435897435898
24,0.00256410256410256
25,0
26,0.00256410256410256
27,0
28,0
29,0
